year,gender,relation,population
2002,Female,Family/Relative,0
2002,Female,Family/Relative;Other,0
2002,Female,Family/Relative;Unknown,0
2002,Female,Friend,0
2002,Female,Friend;Family/Relative,0
2002,Female,Friend;Family/Relative;Other,0
2002,Female,Friend;Other,0
2002,Female,Friend;Unknown,0
2002,Female,Intimate Partner,0
2002,Female,Intimate Partner;Family/Relative,0
2002,Female,Intimate Partner;Friend,0
2002,Female,Intimate Partner;Friend;Other,0
2002,Female,Intimate Partner;Other,0
2002,Female,Intimate Partner;Unknown,0
2002,Female,Other,0
2002,Female,Other;Unknown,0
2002,Female,Unknown,1116
2002,Male,Family/Relative,0
2002,Male,Family/Relative;Other,0
2002,Male,Family/Relative;Unknown,0
2002,Male,Friend,0
2002,Male,Friend;Family/Relative,0
2002,Male,Friend;Family/Relative;Other,0
2002,Male,Friend;Other,0
2002,Male,Friend;Unknown,0
2002,Male,Intimate Partner,0
2002,Male,Intimate Partner;Family/Relative,0
2002,Male,Intimate Partner;Friend,0
2002,Male,Intimate Partner;Friend;Other,0
2002,Male,Intimate Partner;Other,0
2002,Male,Intimate Partner;Unknown,0
2002,Male,Other,0
2002,Male,Other;Unknown,0
2002,Male,Unknown,0
2002,Unknown,Family/Relative,0
2002,Unknown,Family/Relative;Other,0
2002,Unknown,Family/Relative;Unknown,0
2002,Unknown,Friend,0
2002,Unknown,Friend;Family/Relative,0
2002,Unknown,Friend;Family/Relative;Other,0
2002,Unknown,Friend;Other,0
2002,Unknown,Friend;Unknown,0
2002,Unknown,Intimate Partner,0
2002,Unknown,Intimate Partner;Family/Relative,0
2002,Unknown,Intimate Partner;Friend,0
2002,Unknown,Intimate Partner;Friend;Other,0
2002,Unknown,Intimate Partner;Other,0
2002,Unknown,Intimate Partner;Unknown,0
2002,Unknown,Other,0
2002,Unknown,Other;Unknown,0
2002,Unknown,Unknown,0
2003,Female,Family/Relative,0
2003,Female,Family/Relative;Other,0
2003,Female,Family/Relative;Unknown,0
2003,Female,Friend,0
2003,Female,Friend;Family/Relative,0
2003,Female,Friend;Family/Relative;Other,0
2003,Female,Friend;Other,0
2003,Female,Friend;Unknown,0
2003,Female,Intimate Partner,0
2003,Female,Intimate Partner;Family/Relative,0
2003,Female,Intimate Partner;Friend,0
2003,Female,Intimate Partner;Friend;Other,0
2003,Female,Intimate Partner;Other,0
2003,Female,Intimate Partner;Unknown,0
2003,Female,Other,0
2003,Female,Other;Unknown,0
2003,Female,Unknown,364
2003,Male,Family/Relative,0
2003,Male,Family/Relative;Other,0
2003,Male,Family/Relative;Unknown,0
2003,Male,Friend,0
2003,Male,Friend;Family/Relative,0
2003,Male,Friend;Family/Relative;Other,0
2003,Male,Friend;Other,0
2003,Male,Friend;Unknown,0
2003,Male,Intimate Partner,0
2003,Male,Intimate Partner;Family/Relative,0
2003,Male,Intimate Partner;Friend,0
2003,Male,Intimate Partner;Friend;Other,0
2003,Male,Intimate Partner;Other,0
2003,Male,Intimate Partner;Unknown,0
2003,Male,Other,0
2003,Male,Other;Unknown,0
2003,Male,Unknown,15
2003,Unknown,Family/Relative,0
2003,Unknown,Family/Relative;Other,0
2003,Unknown,Family/Relative;Unknown,0
2003,Unknown,Friend,0
2003,Unknown,Friend;Family/Relative,0
2003,Unknown,Friend;Family/Relative;Other,0
2003,Unknown,Friend;Other,0
2003,Unknown,Friend;Unknown,0
2003,Unknown,Intimate Partner,0
2003,Unknown,Intimate Partner;Family/Relative,0
2003,Unknown,Intimate Partner;Friend,0
2003,Unknown,Intimate Partner;Friend;Other,0
2003,Unknown,Intimate Partner;Other,0
2003,Unknown,Intimate Partner;Unknown,0
2003,Unknown,Other,0
2003,Unknown,Other;Unknown,0
2003,Unknown,Unknown,0
2004,Female,Family/Relative,0
2004,Female,Family/Relative;Other,0
2004,Female,Family/Relative;Unknown,0
2004,Female,Friend,0
2004,Female,Friend;Family/Relative,0
2004,Female,Friend;Family/Relative;Other,0
2004,Female,Friend;Other,0
2004,Female,Friend;Unknown,0
2004,Female,Intimate Partner,0
2004,Female,Intimate Partner;Family/Relative,0
2004,Female,Intimate Partner;Friend,0
2004,Female,Intimate Partner;Friend;Other,0
2004,Female,Intimate Partner;Other,0
2004,Female,Intimate Partner;Unknown,0
2004,Female,Other,0
2004,Female,Other;Unknown,0
2004,Female,Unknown,250
2004,Male,Family/Relative,0
2004,Male,Family/Relative;Other,0
2004,Male,Family/Relative;Unknown,0
2004,Male,Friend,0
2004,Male,Friend;Family/Relative,0
2004,Male,Friend;Family/Relative;Other,0
2004,Male,Friend;Other,0
2004,Male,Friend;Unknown,0
2004,Male,Intimate Partner,0
2004,Male,Intimate Partner;Family/Relative,0
2004,Male,Intimate Partner;Friend,0
2004,Male,Intimate Partner;Friend;Other,0
2004,Male,Intimate Partner;Other,0
2004,Male,Intimate Partner;Unknown,0
2004,Male,Other,0
2004,Male,Other;Unknown,0
2004,Male,Unknown,0
2004,Unknown,Family/Relative,0
2004,Unknown,Family/Relative;Other,0
2004,Unknown,Family/Relative;Unknown,0
2004,Unknown,Friend,0
2004,Unknown,Friend;Family/Relative,0
2004,Unknown,Friend;Family/Relative;Other,0
2004,Unknown,Friend;Other,0
2004,Unknown,Friend;Unknown,0
2004,Unknown,Intimate Partner,0
2004,Unknown,Intimate Partner;Family/Relative,0
2004,Unknown,Intimate Partner;Friend,0
2004,Unknown,Intimate Partner;Friend;Other,0
2004,Unknown,Intimate Partner;Other,0
2004,Unknown,Intimate Partner;Unknown,0
2004,Unknown,Other,0
2004,Unknown,Other;Unknown,0
2004,Unknown,Unknown,0
2005,Female,Family/Relative,0
2005,Female,Family/Relative;Other,0
2005,Female,Family/Relative;Unknown,0
2005,Female,Friend,0
2005,Female,Friend;Family/Relative,0
2005,Female,Friend;Family/Relative;Other,0
2005,Female,Friend;Other,0
2005,Female,Friend;Unknown,0
2005,Female,Intimate Partner,0
2005,Female,Intimate Partner;Family/Relative,0
2005,Female,Intimate Partner;Friend,0
2005,Female,Intimate Partner;Friend;Other,0
2005,Female,Intimate Partner;Other,0
2005,Female,Intimate Partner;Unknown,0
2005,Female,Other,0
2005,Female,Other;Unknown,0
2005,Female,Unknown,1189
2005,Male,Family/Relative,0
2005,Male,Family/Relative;Other,0
2005,Male,Family/Relative;Unknown,0
2005,Male,Friend,0
2005,Male,Friend;Family/Relative,0
2005,Male,Friend;Family/Relative;Other,0
2005,Male,Friend;Other,0
2005,Male,Friend;Unknown,0
2005,Male,Intimate Partner,0
2005,Male,Intimate Partner;Family/Relative,0
2005,Male,Intimate Partner;Friend,0
2005,Male,Intimate Partner;Friend;Other,0
2005,Male,Intimate Partner;Other,0
2005,Male,Intimate Partner;Unknown,0
2005,Male,Other,0
2005,Male,Other;Unknown,0
2005,Male,Unknown,428
2005,Unknown,Family/Relative,0
2005,Unknown,Family/Relative;Other,0
2005,Unknown,Family/Relative;Unknown,0
2005,Unknown,Friend,0
2005,Unknown,Friend;Family/Relative,0
2005,Unknown,Friend;Family/Relative;Other,0
2005,Unknown,Friend;Other,0
2005,Unknown,Friend;Unknown,0
2005,Unknown,Intimate Partner,0
2005,Unknown,Intimate Partner;Family/Relative,0
2005,Unknown,Intimate Partner;Friend,0
2005,Unknown,Intimate Partner;Friend;Other,0
2005,Unknown,Intimate Partner;Other,0
2005,Unknown,Intimate Partner;Unknown,0
2005,Unknown,Other,0
2005,Unknown,Other;Unknown,0
2005,Unknown,Unknown,0
2006,Female,Family/Relative,0
2006,Female,Family/Relative;Other,0
2006,Female,Family/Relative;Unknown,0
2006,Female,Friend,0
2006,Female,Friend;Family/Relative,0
2006,Female,Friend;Family/Relative;Other,0
2006,Female,Friend;Other,0
2006,Female,Friend;Unknown,0
2006,Female,Intimate Partner,0
2006,Female,Intimate Partner;Family/Relative,0
2006,Female,Intimate Partner;Friend,0
2006,Female,Intimate Partner;Friend;Other,0
2006,Female,Intimate Partner;Other,0
2006,Female,Intimate Partner;Unknown,0
2006,Female,Other,0
2006,Female,Other;Unknown,0
2006,Female,Unknown,1237
2006,Male,Family/Relative,0
2006,Male,Family/Relative;Other,0
2006,Male,Family/Relative;Unknown,0
2006,Male,Friend,0
2006,Male,Friend;Family/Relative,0
2006,Male,Friend;Family/Relative;Other,0
2006,Male,Friend;Other,0
2006,Male,Friend;Unknown,0
2006,Male,Intimate Partner,0
2006,Male,Intimate Partner;Family/Relative,0
2006,Male,Intimate Partner;Friend,0
2006,Male,Intimate Partner;Friend;Other,0
2006,Male,Intimate Partner;Other,0
2006,Male,Intimate Partner;Unknown,0
2006,Male,Other,0
2006,Male,Other;Unknown,0
2006,Male,Unknown,297
2006,Unknown,Family/Relative,0
2006,Unknown,Family/Relative;Other,0
2006,Unknown,Family/Relative;Unknown,0
2006,Unknown,Friend,0
2006,Unknown,Friend;Family/Relative,0
2006,Unknown,Friend;Family/Relative;Other,0
2006,Unknown,Friend;Other,0
2006,Unknown,Friend;Unknown,0
2006,Unknown,Intimate Partner,0
2006,Unknown,Intimate Partner;Family/Relative,0
2006,Unknown,Intimate Partner;Friend,0
2006,Unknown,Intimate Partner;Friend;Other,0
2006,Unknown,Intimate Partner;Other,0
2006,Unknown,Intimate Partner;Unknown,0
2006,Unknown,Other,0
2006,Unknown,Other;Unknown,0
2006,Unknown,Unknown,0
2007,Female,Family/Relative,0
2007,Female,Family/Relative;Other,0
2007,Female,Family/Relative;Unknown,0
2007,Female,Friend,0
2007,Female,Friend;Family/Relative,0
2007,Female,Friend;Family/Relative;Other,0
2007,Female,Friend;Other,0
2007,Female,Friend;Unknown,0
2007,Female,Intimate Partner,0
2007,Female,Intimate Partner;Family/Relative,0
2007,Female,Intimate Partner;Friend,0
2007,Female,Intimate Partner;Friend;Other,0
2007,Female,Intimate Partner;Other,0
2007,Female,Intimate Partner;Unknown,0
2007,Female,Other,0
2007,Female,Other;Unknown,0
2007,Female,Unknown,1124
2007,Male,Family/Relative,0
2007,Male,Family/Relative;Other,0
2007,Male,Family/Relative;Unknown,0
2007,Male,Friend,0
2007,Male,Friend;Family/Relative,0
2007,Male,Friend;Family/Relative;Other,0
2007,Male,Friend;Other,0
2007,Male,Friend;Unknown,0
2007,Male,Intimate Partner,0
2007,Male,Intimate Partner;Family/Relative,0
2007,Male,Intimate Partner;Friend,0
2007,Male,Intimate Partner;Friend;Other,0
2007,Male,Intimate Partner;Other,0
2007,Male,Intimate Partner;Unknown,0
2007,Male,Other,0
2007,Male,Other;Unknown,0
2007,Male,Unknown,345
2007,Unknown,Family/Relative,0
2007,Unknown,Family/Relative;Other,0
2007,Unknown,Family/Relative;Unknown,0
2007,Unknown,Friend,0
2007,Unknown,Friend;Family/Relative,0
2007,Unknown,Friend;Family/Relative;Other,0
2007,Unknown,Friend;Other,0
2007,Unknown,Friend;Unknown,0
2007,Unknown,Intimate Partner,0
2007,Unknown,Intimate Partner;Family/Relative,0
2007,Unknown,Intimate Partner;Friend,0
2007,Unknown,Intimate Partner;Friend;Other,0
2007,Unknown,Intimate Partner;Other,0
2007,Unknown,Intimate Partner;Unknown,0
2007,Unknown,Other,0
2007,Unknown,Other;Unknown,0
2007,Unknown,Unknown,0
2008,Female,Family/Relative,0
2008,Female,Family/Relative;Other,0
2008,Female,Family/Relative;Unknown,0
2008,Female,Friend,0
2008,Female,Friend;Family/Relative,0
2008,Female,Friend;Family/Relative;Other,0
2008,Female,Friend;Other,0
2008,Female,Friend;Unknown,0
2008,Female,Intimate Partner,0
2008,Female,Intimate Partner;Family/Relative,0
2008,Female,Intimate Partner;Friend,0
2008,Female,Intimate Partner;Friend;Other,0
2008,Female,Intimate Partner;Other,0
2008,Female,Intimate Partner;Unknown,0
2008,Female,Other,0
2008,Female,Other;Unknown,0
2008,Female,Unknown,665
2008,Male,Family/Relative,0
2008,Male,Family/Relative;Other,0
2008,Male,Family/Relative;Unknown,0
2008,Male,Friend,0
2008,Male,Friend;Family/Relative,0
2008,Male,Friend;Family/Relative;Other,0
2008,Male,Friend;Other,0
2008,Male,Friend;Unknown,0
2008,Male,Intimate Partner,0
2008,Male,Intimate Partner;Family/Relative,0
2008,Male,Intimate Partner;Friend,0
2008,Male,Intimate Partner;Friend;Other,0
2008,Male,Intimate Partner;Other,0
2008,Male,Intimate Partner;Unknown,0
2008,Male,Other,0
2008,Male,Other;Unknown,0
2008,Male,Unknown,163
2008,Unknown,Family/Relative,0
2008,Unknown,Family/Relative;Other,0
2008,Unknown,Family/Relative;Unknown,0
2008,Unknown,Friend,0
2008,Unknown,Friend;Family/Relative,0
2008,Unknown,Friend;Family/Relative;Other,0
2008,Unknown,Friend;Other,0
2008,Unknown,Friend;Unknown,0
2008,Unknown,Intimate Partner,0
2008,Unknown,Intimate Partner;Family/Relative,0
2008,Unknown,Intimate Partner;Friend,0
2008,Unknown,Intimate Partner;Friend;Other,0
2008,Unknown,Intimate Partner;Other,0
2008,Unknown,Intimate Partner;Unknown,0
2008,Unknown,Other,0
2008,Unknown,Other;Unknown,0
2008,Unknown,Unknown,0
2009,Female,Family/Relative,0
2009,Female,Family/Relative;Other,0
2009,Female,Family/Relative;Unknown,0
2009,Female,Friend,0
2009,Female,Friend;Family/Relative,0
2009,Female,Friend;Family/Relative;Other,0
2009,Female,Friend;Other,0
2009,Female,Friend;Unknown,0
2009,Female,Intimate Partner,0
2009,Female,Intimate Partner;Family/Relative,0
2009,Female,Intimate Partner;Friend,0
2009,Female,Intimate Partner;Friend;Other,0
2009,Female,Intimate Partner;Other,0
2009,Female,Intimate Partner;Unknown,0
2009,Female,Other,0
2009,Female,Other;Unknown,0
2009,Female,Unknown,665
2009,Male,Family/Relative,0
2009,Male,Family/Relative;Other,0
2009,Male,Family/Relative;Unknown,0
2009,Male,Friend,0
2009,Male,Friend;Family/Relative,0
2009,Male,Friend;Family/Relative;Other,0
2009,Male,Friend;Other,0
2009,Male,Friend;Unknown,0
2009,Male,Intimate Partner,0
2009,Male,Intimate Partner;Family/Relative,0
2009,Male,Intimate Partner;Friend,0
2009,Male,Intimate Partner;Friend;Other,0
2009,Male,Intimate Partner;Other,0
2009,Male,Intimate Partner;Unknown,0
2009,Male,Other,0
2009,Male,Other;Unknown,0
2009,Male,Unknown,126
2009,Unknown,Family/Relative,0
2009,Unknown,Family/Relative;Other,0
2009,Unknown,Family/Relative;Unknown,0
2009,Unknown,Friend,0
2009,Unknown,Friend;Family/Relative,0
2009,Unknown,Friend;Family/Relative;Other,0
2009,Unknown,Friend;Other,0
2009,Unknown,Friend;Unknown,0
2009,Unknown,Intimate Partner,0
2009,Unknown,Intimate Partner;Family/Relative,0
2009,Unknown,Intimate Partner;Friend,0
2009,Unknown,Intimate Partner;Friend;Other,0
2009,Unknown,Intimate Partner;Other,0
2009,Unknown,Intimate Partner;Unknown,0
2009,Unknown,Other,0
2009,Unknown,Other;Unknown,0
2009,Unknown,Unknown,0
2010,Female,Family/Relative,0
2010,Female,Family/Relative;Other,0
2010,Female,Family/Relative;Unknown,0
2010,Female,Friend,0
2010,Female,Friend;Family/Relative,0
2010,Female,Friend;Family/Relative;Other,0
2010,Female,Friend;Other,0
2010,Female,Friend;Unknown,0
2010,Female,Intimate Partner,0
2010,Female,Intimate Partner;Family/Relative,0
2010,Female,Intimate Partner;Friend,0
2010,Female,Intimate Partner;Friend;Other,0
2010,Female,Intimate Partner;Other,0
2010,Female,Intimate Partner;Unknown,0
2010,Female,Other,0
2010,Female,Other;Unknown,0
2010,Female,Unknown,890
2010,Male,Family/Relative,0
2010,Male,Family/Relative;Other,0
2010,Male,Family/Relative;Unknown,0
2010,Male,Friend,0
2010,Male,Friend;Family/Relative,0
2010,Male,Friend;Family/Relative;Other,0
2010,Male,Friend;Other,0
2010,Male,Friend;Unknown,0
2010,Male,Intimate Partner,0
